=== ACTION 1 ===
| Year-Month | Zone | Sum of Total_Pax |
| 2022-08 | Res_InternationalCity | 81674 |
| 2022-09 | CBD_BusinessBay | 67818 |
| 2022-09 | CBD_Downtown | 176095 |
| 2022-09 | Coastal_Marina | 84747 |
| 2022-09 | Core_Deira | 94575 |
| 2022-09 | Ind_JebelAli | 64209 |
| 2022-09 | Res_AlQusais | 96744 |
| 2022-09 | Res_InternationalCity | 87351 |
| 2022-10 | CBD_BusinessBay | 69680 |
| 2022-10 | CBD_Downtown | 179340 |
| 2022-10 | Coastal_Marina | 89334 |
| 2022-10 | Core_Deira | 96485 |
| 2022-10 | Ind_JebelAli | 65226 |
| 2022-10 | Res_AlQusais | 99772 |
| 2022-10 | Res_InternationalCity | 90122 |
| 2022-11 | CBD_BusinessBay | 75604 |
| 2022-11 | CBD_Downtown | 196420 |
| 2022-11 | Coastal_Marina | 96563 |
| 2022-11 | Core_Deira | 103028 |
| 2022-11 | Ind_JebelAli | 72887 |
| 2022-11 | Res_AlQusais | 108975 |
| 2022-11 | Res_InternationalCity | 98475 |
| 2022-12 | CBD_BusinessBay | 82576 |
| 2022-12 | CBD_Downtown | 210343 |
| 2022-12 | Coastal_Marina | 106062 |
| 2022-12 | Core_Deira | 112390 |
| 2022-12 | Ind_JebelAli | 76318 |
| 2022-12 | Res_AlQusais | 116164 |
| 2022-12 | Res_InternationalCity | 106816 |
| 2023-01 | CBD_BusinessBay | 90904 |
| 2023-01 | CBD_Downtown | 235456 |
| 2023-01 | Coastal_Marina | 119166 |
| 2023-01 | Core_Deira | 124540 |
| 2023-01 | Ind_JebelAli | 85597 |
| 2023-01 | Res_AlQusais | 131531 |
| 2023-01 | Res_InternationalCity | 117691 |
| 2023-02 | CBD_BusinessBay | 75160 |
| 2023-02 | CBD_Downtown | 200513 |
| 2023-02 | Coastal_Marina | 99718 |
| 2023-02 | Core_Deira | 105240 |
| 2023-02 | Ind_JebelAli | 72610 |
| 2023-02 | Res_AlQusais | 106963 |
| 2023-02 | Res_InternationalCity | 99957 |
| 2023-03 | CBD_BusinessBay | 84711 |
| 2023-03 | CBD_Downtown | 216101 |
| 2023-03 | Coastal_Marina | 108839 |
| 2023-03 | Core_Deira | 115807 |
| 2023-03 | Ind_JebelAli | 81199 |
| 2023-03 | Res_AlQusais | 120201 |
| 2023-03 | Res_InternationalCity | 110705 |
| 2023-04 | CBD_BusinessBay | 72996 |
| 2023-04 | CBD_Downtown | 187230 |
| 2023-04 | Coastal_Marina | 95036 |
| 2023-04 | Core_Deira | 98063 |
| 2023-04 | Ind_JebelAli | 69337 |
| 2023-04 | Res_AlQusais | 105580 |
| 2023-04 | Res_InternationalCity | 93686 |
| 2023-05 | CBD_BusinessBay | 76754 |
| 2023-05 | CBD_Downtown | 197663 |
| 2023-05 | Coastal_Marina | 97114 |
| 2023-05 | Core_Deira | 104107 |
| 2023-05 | Ind_JebelAli | 73024 |
| 2023-05 | Res_AlQusais | 106076 |
| 2023-05 | Res_InternationalCity | 100242 |
| 2023-06 | CBD_BusinessBay | 64817 |
| 2023-06 | CBD_Downtown | 167599 |
| 2023-06 | Coastal_Marina | 81080 |
| 2023-06 | Core_Deira | 90948 |
| 2023-06 | Ind_JebelAli | 62463 |
| 2023-06 | Res_AlQusais | 91999 |
| 2023-06 | Res_InternationalCity | 83966 |
| 2023-07 | CBD_BusinessBay | 66174 |
| 2023-07 | CBD_Downtown | 172697 |
| 2023-07 | Coastal_Marina | 85632 |
| 2023-07 | Core_Deira | 90952 |
| 2023-07 | Ind_JebelAli | 64523 |
| 2023-07 | Res_AlQusais | 95096 |
| 2023-07 | Res_InternationalCity | 85681 |
| 2023-08 | CBD_BusinessBay | 66840 |
| 2023-08 | CBD_Downtown | 173341 |
| 2023-08 | Coastal_Marina | 85436 |
| 2023-08 | Core_Deira | 93086 |
| 2023-08 | Ind_JebelAli | 63183 |
| 2023-08 | Res_AlQusais | 94520 |
| 2023-08 | Res_InternationalCity | 87595 |
| 2023-09 | CBD_BusinessBay | 73333 |
| 2023-09 | CBD_Downtown | 188032 |
| 2023-09 | Coastal_Marina | 92691 |
| 2023-09 | Core_Deira | 99758 |
| 2023-09 | Ind_JebelAli | 70139 |
| 2023-09 | Res_AlQusais | 104227 |
| 2023-09 | Res_InternationalCity | 96218 |
| 2023-10 | CBD_BusinessBay | 74866 |
| 2023-10 | CBD_Downtown | 196371 |
| 2023-10 | Coastal_Marina | 98423 |
| 2023-10 | Core_Deira | 104611 |
| 2023-10 | Ind_JebelAli | 72189 |
| 2023-10 | Res_AlQusais | 106561 |
| 2023-10 | Res_InternationalCity | 99457 |
| 2023-11 | CBD_BusinessBay | 82475 |
| 2023-11 | CBD_Downtown | 213102 |
| 2023-11 | Coastal_Marina | 106120 |
| 2023-11 | Core_Deira | 112668 |
| 2023-11 | Ind_JebelAli | 78379 |
| 2023-11 | Res_AlQusais | 116633 |
| 2023-11 | Res_InternationalCity | 107355 |
| 2023-12 | CBD_BusinessBay | 89114 |
| 2023-12 | CBD_Downtown | 229536 |
| 2023-12 | Coastal_Marina | 116789 |
| 2023-12 | Core_Deira | 123822 |
| 2023-12 | Ind_JebelAli | 84349 |
| 2023-12 | Res_AlQusais | 124761 |
| 2023-12 | Res_InternationalCity | 117956 |
| 2024-01 | CBD_BusinessBay | 100919 |
| 2024-01 | CBD_Downtown | 261357 |
| 2024-01 | Coastal_Marina | 126258 |
| 2024-01 | Core_Deira | 137984 |
| 2024-01 | Ind_JebelAli | 96023 |
| 2024-01 | Res_AlQusais | 141065 |
| 2024-01 | Res_InternationalCity | 130388 |
| 2024-02 | CBD_BusinessBay | 90307 |
| 2024-02 | CBD_Downtown | 229870 |
| 2024-02 | Coastal_Marina | 114575 |
| 2024-02 | Core_Deira | 123233 |
| 2024-02 | Ind_JebelAli | 84660 |
| 2024-02 | Res_AlQusais | 128555 |
| 2024-02 | Res_InternationalCity | 116903 |
| 2024-03 | CBD_BusinessBay | 92606 |
| 2024-03 | CBD_Downtown | 239607 |
| 2024-03 | Coastal_Marina | 121606 |
| 2024-03 | Core_Deira | 127858 |
| 2024-03 | Ind_JebelAli | 89919 |
| 2024-03 | Res_AlQusais | 132084 |
| 2024-03 | Res_InternationalCity | 120429 |
| 2024-04 | CBD_BusinessBay | 83899 |
| 2024-04 | CBD_Downtown | 218032 |
| 2024-04 | Coastal_Marina | 105316 |
| 2024-04 | Core_Deira | 114898 |
| 2024-04 | Ind_JebelAli | 79686 |
| 2024-04 | Res_AlQusais | 117233 |
| 2024-04 | Res_InternationalCity | 109283 |
| 2024-05 | CBD_BusinessBay | 86484 |
| 2024-05 | CBD_Downtown | 223771 |
| 2024-05 | Coastal_Marina | 109492 |
| 2024-05 | Core_Deira | 117409 |
| 2024-05 | Ind_JebelAli | 82873 |
| 2024-05 | Res_AlQusais | 124546 |
| 2024-05 | Res_InternationalCity | 110576 |
| 2024-06 | CBD_BusinessBay | 73272 |
| 2024-06 | CBD_Downtown | 184965 |
| 2024-06 | Coastal_Marina | 93796 |
| 2024-06 | Core_Deira | 98861 |
| 2024-06 | Ind_JebelAli | 68199 |
| 2024-06 | Res_AlQusais | 103561 |
| 2024-06 | Res_InternationalCity | 94182 |
| 2024-07 | CBD_BusinessBay | 76158 |
| 2024-07 | CBD_Downtown | 196789 |
| 2024-07 | Coastal_Marina | 96658 |
| 2024-07 | Core_Deira | 104338 |
| 2024-07 | Ind_JebelAli | 72516 |
| 2024-07 | Res_AlQusais | 107561 |
| 2024-07 | Res_InternationalCity | 98290 |
| 2024-08 | CBD_BusinessBay | 74303 |
| 2024-08 | CBD_Downtown | 194598 |
| 2024-08 | Coastal_Marina | 97122 |
| 2024-08 | Core_Deira | 105030 |
| 2024-08 | Ind_JebelAli | 72561 |
| 2024-08 | Res_AlQusais | 105840 |
| 2024-08 | Res_InternationalCity | 97368 |
| 2024-09 | CBD_BusinessBay | 82603 |
| 2024-09 | CBD_Downtown | 212015 |
| 2024-09 | Coastal_Marina | 107373 |
| 2024-09 | Core_Deira | 114368 |
| 2024-09 | Ind_JebelAli | 80206 |
| 2024-09 | Res_AlQusais | 118299 |
| 2024-09 | Res_InternationalCity | 106916 |
| 2024-10 | CBD_BusinessBay | 86371 |
| 2024-10 | CBD_Downtown | 223897 |
| 2024-10 | Coastal_Marina | 110323 |
| 2024-10 | Core_Deira | 119662 |
| 2024-10 | Ind_JebelAli | 83794 |
| 2024-10 | Res_AlQusais | 124107 |
| 2024-10 | Res_InternationalCity | 112011 |
| 2024-11 | CBD_BusinessBay | 92517 |
| 2024-11 | CBD_Downtown | 237607 |
| 2024-11 | Coastal_Marina | 120992 |
| 2024-11 | Core_Deira | 127374 |
| 2024-11 | Ind_JebelAli | 89075 |
| 2024-11 | Res_AlQusais | 133078 |
| 2024-11 | Res_InternationalCity | 121137 |
| 2024-12 | CBD_BusinessBay | 101995 |
| 2024-12 | CBD_Downtown | 267282 |
| 2024-12 | Coastal_Marina | 131677 |
| 2024-12 | Core_Deira | 137716 |
| 2024-12 | Ind_JebelAli | 94631 |
| 2024-12 | Res_AlQusais | 146479 |
| 2024-12 | Res_InternationalCity | 133376 |
| 2025-01 | CBD_BusinessBay | 108646 |
| 2025-01 | CBD_Downtown | 279673 |
| 2025-01 | Coastal_Marina | 136409 |
| 2025-01 | Core_Deira | 150043 |
| 2025-01 | Ind_JebelAli | 103655 |
| 2025-01 | Res_AlQusais | 153331 |
| 2025-01 | Res_InternationalCity | 141862 |
| 2025-02 | CBD_BusinessBay | 93534 |
| 2025-02 | CBD_Downtown | 245815 |
| 2025-02 | Coastal_Marina | 120980 |
| 2025-02 | Core_Deira | 128905 |
| 2025-02 | Ind_JebelAli | 88679 |
| 2025-02 | Res_AlQusais | 136282 |
| 2025-02 | Res_InternationalCity | 123597 |
| 2025-03 | CBD_BusinessBay | 100092 |
| 2025-03 | CBD_Downtown | 260506 |
| 2025-03 | Coastal_Marina | 129438 |
| 2025-03 | Core_Deira | 139985 |
| 2025-03 | Ind_JebelAli | 93727 |
| 2025-03 | Res_AlQusais | 145319 |
| 2025-03 | Res_InternationalCity | 131123 |
| 2025-04 | CBD_BusinessBay | 90475 |
| 2025-04 | CBD_Downtown | 237574 |
| 2025-04 | Coastal_Marina | 115975 |
| 2025-04 | Core_Deira | 126400 |
| 2025-04 | Ind_JebelAli | 87660 |
| 2025-04 | Res_AlQusais | 129902 |
| 2025-04 | Res_InternationalCity | 118205 |
| 2025-05 | CBD_BusinessBay | 92776 |
| 2025-05 | CBD_Downtown | 240970 |
| 2025-05 | Coastal_Marina | 121846 |
| 2025-05 | Core_Deira | 129953 |
| 2025-05 | Ind_JebelAli | 88778 |
| 2025-05 | Res_AlQusais | 133723 |
| 2025-05 | Res_InternationalCity | 123796 |
| 2025-06 | CBD_BusinessBay | 80114 |
| 2025-06 | CBD_Downtown | 207203 |
| 2025-06 | Coastal_Marina | 102722 |
| 2025-06 | Core_Deira | 109695 |
| 2025-06 | Ind_JebelAli | 75855 |
| 2025-06 | Res_AlQusais | 114876 |
| 2025-06 | Res_InternationalCity | 102038 |

=== ACTION 2 ===
| Zone | DayOfWeek | Average Daily Total_Pax |
|---|---|---|
| CBD_BusinessBay | Monday | 2,883.64 |
| CBD_BusinessBay | Tuesday | 2,877.24 |
| CBD_BusinessBay | Wednesday | 2,884.14 |
| CBD_BusinessBay | Thursday | 2,898.47 |
| CBD_BusinessBay | Friday | 2,891.53 |
| CBD_BusinessBay | Saturday | 2,005.38 |
| CBD_BusinessBay | Sunday | 2,030.70 |
| CBD_Downtown | Monday | 7,492.80 |
| CBD_Downtown | Tuesday | 7,462.68 |
| CBD_Downtown | Wednesday | 7,452.42 |
| CBD_Downtown | Thursday | 7,468.62 |
| CBD_Downtown | Friday | 7,470.36 |
| CBD_Downtown | Saturday | 5,231.05 |
| CBD_Downtown | Sunday | 5,218.36 |
| Coastal_Marina | Monday | 3,292.62 |
| Coastal_Marina | Tuesday | 3,316.32 |
| Coastal_Marina | Wednesday | 3,288.01 |
| Coastal_Marina | Thursday | 3,305.86 |
| Coastal_Marina | Friday | 3,279.25 |
| Coastal_Marina | Saturday | 3,606.21 |
| Coastal_Marina | Sunday | 3,636.06 |
| Core_Deira | Monday | 3,873.07 |
| Core_Deira | Tuesday | 3,851.73 |
| Core_Deira | Wednesday | 3,875.67 |
| Core_Deira | Thursday | 3,865.37 |
| Core_Deira | Friday | 3,900.49 |
| Core_Deira | Saturday | 3,030.67 |
| Core_Deira | Sunday | 3,030.72 |
| Ind_JebelAli | Monday | 2,676.53 |
| Ind_JebelAli | Tuesday | 2,682.34 |
| Ind_JebelAli | Wednesday | 2,703.87 |
| Ind_JebelAli | Thursday | 2,689.12 |
| Ind_JebelAli | Friday | 2,677.45 |
| Ind_JebelAli | Saturday | 2,082.65 |
| Ind_JebelAli | Sunday | 2,099.45 |
| Res_AlQusais | Monday | 4,032.08 |
| Res_AlQusais | Tuesday | 3,986.99 |
| Res_AlQusais | Wednesday | 3,995.04 |
| Res_AlQusais | Thursday | 4,014.91 |
| Res_AlQusais | Friday | 4,032.16 |
| Res_AlQusais | Saturday | 3,107.37 |
| Res_AlQusais | Sunday | 3,146.89 |
| Res_InternationalCity | Monday | 3,667.04 |
| Res_InternationalCity | Tuesday | 3,669.87 |
| Res_InternationalCity | Wednesday | 3,674.90 |
| Res_InternationalCity | Thursday | 3,673.95 |
| Res_InternationalCity | Friday | 3,658.09 |
| Res_InternationalCity | Saturday | 2,854.50 |
| Res_InternationalCity | Sunday | 2,856.75 |

=== ACTION 3 ===
| Route_Type | Congestion_Level | Average Avg_Speed_kmph | Average Daily Total_Pax |
|---|---|---|---|
| City | 1 | 39.98 | 9,502.44 |
| City | 2 | 35.00 | 9,855.58 |
| City | 3 | 29.85 | 10,434.44 |
| City | 4 | 24.24 | 10,161.03 |
| City | 5 | 20.94 | 11,286.53 |
| Express | 1 | 39.98 | 5,934.79 |
| Express | 2 | 35.00 | 6,158.36 |
| Express | 3 | 29.85 | 6,535.92 |
| Express | 4 | 24.24 | 6,350.84 |
| Express | 5 | 20.94 | 7,100.03 |
| Feeder | 1 | 39.98 | 5,995.18 |
| Feeder | 2 | 35.00 | 6,248.06 |
| Feeder | 3 | 29.85 | 6,671.94 |
| Feeder | 4 | 24.24 | 6,502.14 |
| Feeder | 5 | 20.94 | 7,332.61 |
| Intercity | 1 | 39.98 | 3,103.52 |
| Intercity | 2 | 35.00 | 3,270.05 |
| Intercity | 3 | 29.85 | 3,477.14 |
| Intercity | 4 | 24.24 | 3,419.34 |
| Intercity | 5 | 20.94 | 3,835.97 |

=== ACTION 4 ===
| Route_ID | Avg Daily Pax in 2025 |
|---|---|
| 101 | 3,293.67 |
| 102 | 2,799.47 |
| 103 | 3,274.70 |
| 104 | 2,614.96 |
| 105 | 2,586.77 |
| 106 | 2,368.41 |
| 107 | 2,717.12 |
| 108 | 2,523.67 |
| 109 | 1,834.99 |
| 110 | 2,178.05 |
| 111 | 2,639.93 |
| 112 | 2,340.29 |

